ID,Date,Date - Clean,ConvoID,Content,Sender,Participants,Group,ParticipantsClean
558,44676.91563,44676.91563,9,OC LUW,Self,"David Sacks, Self",No,David Sacks
559,2022-04-25 22:00:53 ( CDT ),44676.91728,9,RT'd,David Sacks,"David Sacks, Self",No,David Sacks
578,2022-04-26 17:14:56 ( CDT ),44677.7187,9,"Justin Amash ( former congressman who's libertarian and good on free speech ) asked for an
intro to you : "" I believe I can be helpful to Twitter's team going forward - thinking about how
to handle speech and moderation , how that intersects with ideas about governance , how to
navigate actual govemment ( including future threats to Section 230 ) , etc. - and I'd love to
connect with Elon if he's interested in connecting ( I don't have a direct way to contact him ) . I
believe my experience and expertise can be useful , and my general outlook aligns with his
stated goals . Thanks . All the best . "" Please LMK if you want to connect with him .",David Sacks,"David Sacks, Self",No,David Sacks
579,2022-04-26 17:15:07 ( CDT ),44677.71883,9,https://twitter.com/justinamash?s=21&t= Owbgwdot7IpUtC4rJUXYg,David Sacks,"David Sacks, Self",No,David Sacks
580,2022-04-26 17:16:09 ( CDT ),44677.71955,9,don't own twitter yet,Self,"David Sacks, Self",No,David Sacks
583,2022-04-26 17:18:41 ( CDT ),44677.72131,9,Understood .,David Sacks,"David Sacks, Self",No,David Sacks
639,2022-04-28 16:07:02 ( CDT ),44679.67155,9,Do you and / or find want to invest in the take private ?,Self,"David Sacks, Self",No,David Sacks
640,2022-04-28 16:07:06 ( CDT ),44679.6716,9,fund,Self,"David Sacks, Self",No,David Sacks
651,| 2022-04-28 18:10:00 ( CDT ),| 2022-04-28 18:10:00 ,9,"Yes but I don't have a vehicle for it ( Craft is venture ) so either I need to set up an SPV or just
do it personally . If the latter , my amount would be mice - nuts in relative terms but I would be
happy to participate to support the cause .",David Sacks,"David Sacks, Self",No,David Sacks
652,2022-04-28 18:13:34 ( CDT ),44679.75942,9,Up to you,Self,"David Sacks, Self",No,David Sacks
653,2022-04-28 18:14:20 ( CDT ),44679.75995,9,"Ok cool , let me know .",David Sacks,"David Sacks, Self",No,David Sacks
654,2022-04-28 18:15:09 ( CDT ),44679.76052,9,I'm in personally and will raise an SPV too if that works for you .,David Sacks,"David Sacks, Self",No,David Sacks
655,2022-04-28 18:27:59 ( CDT ),44679.76943,9,Sure,Self,"David Sacks, Self",No,David Sacks
714,2022-05-05 21:57:06 ( CDT ),44686.91465,9,"Liked "" Best to be low - key during transaction """,Self,"David Sacks, Self",No,David Sacks
