ID,Date,Date - Clean,ConvoID,Content,Sender,Participants,Group,ParticipantsClean
319,2022-04-09 03:20:00 ( CDT ),44660.13889,40,"I have an idea for a blockchain social media system that does both payments and short text
messages / links like twitter . You have to pay a tiny amount to register your message on the
chain , which will cut out the vast majority of spam and bots . There is no throat to choke , so
free speech is guaranteed .",Self,"Kimbal Musk, Self",No,Kimbal Musk
320,2022-04-09 03:22:30 ( CDT ),44660.14063,40,"The second piece of the puzzle is a massive real - time database that keeps a copy of all
blockchain messages in memory , as well as all message sent to or received by you , your
followers and those you follow .",Self,"Kimbal Musk, Self",No,Kimbal Musk
321,2022-04-09 03:23:15 ( CDT ),44660.14115,40,Third piece is a twitter - like app on your phone that accessed the database in the cloud .,Self,"Kimbal Musk, Self",No,Kimbal Musk
322,2022-04-09 03:23:20 ( CDT ),44660.1412,40,This could be massive,Self,"Kimbal Musk, Self",No,Kimbal Musk
327,2022-04-09 10:03:26 ( CDT ),44660.41905,40,"I'd love to learn more . I've dug deep on Web3 ( not crytpo as much ) and the voting powers are
amazing and verified . Lots you could do here for this as well",Kimbal Musk,"Kimbal Musk, Self",No,Kimbal Musk
328,2022-04-09 10:05:38 ( CDT ),44660.42058,40,"I think a new social media company is needed that is based on a blockchain and includes
payments",Self,"Kimbal Musk, Self",No,Kimbal Musk
329,2022-04-09 10:05:51 ( CDT ),44660.42073,40,"Would have them pay w a token associated w the service ? You'd have to hold the token in
your wallet to post . Doesn't have to expensive it will grow over time in value",Kimbal Musk,"Kimbal Musk, Self",No,Kimbal Musk
331,2022-04-09 10:07:59 ( CDT ),44660.42221,40,"Blockchain prevents people from deleting tweets . Pros and cons , but let the games begin !",Kimbal Musk,"Kimbal Musk, Self",No,Kimbal Musk
333,2022-04-09 10:12:22 ( CDT ),44660.42525,40,"If you did use your own token , you would not needs advertising it's a pay for use service but
at a very low price",Kimbal Musk,"Kimbal Musk, Self",No,Kimbal Musk
334,2022-04-09 10:13:18 ( CDT ),44660.4259,40,With scale it will be a huge business purely for the benefit of the users . I hate advertisements,Kimbal Musk,"Kimbal Musk, Self",No,Kimbal Musk
335,2022-04-09 10:13:45 ( CDT ),44660.42622,40,"Liked "" With scale it will be a huge business purely for the benefit of the users . I hate
advertisements """,Self,"Kimbal Musk, Self",No,Kimbal Musk
336,2022-04-09 10:17:11 ( CDT ),44660.4286,40,"There are some good ads out there . The voting component of interested users ( only vote if
you want to ) could vote on ads that add value . The advertisers would have to stake a much
larger amount of tokens , but other than there is no charge for the ads . It will bring out the
creatives and the ads can politically incorrect / art / activision / philanthropy",Kimbal Musk,"Kimbal Musk, Self",No,Kimbal Musk
344,2022-04-09 10:55:09 ( CDT ),44660.45497,40,"Voting rights could also crowdsource kicking scammers out . It drives me crazy when I see
people promoting the scam that you're giving away Bitcoin . Lots of bad people out there",Kimbal Musk,"Kimbal Musk, Self",No,Kimbal Musk
508,2022-04-24 22:56:54 ( CDT ),44675.95618,40,Do you want to participate in the twitter transaction ?,Self,"Kimbal Musk, Self",No,Kimbal Musk
509,2022-04-24 23:00:37 ( CDT ),44675.95876,40,Let's discuss tomorrow,Kimbal Musk,"Kimbal Musk, Self",No,Kimbal Musk
510,2022-04-24 23:01:01 ( CDT ),44675.95904,40,Ok,Self,"Kimbal Musk, Self",No,Kimbal Musk
511,2022-04-24 23:01:07 ( CDT ),44675.95911,40,"I can break away from my group a lot of the time . Will text tomorrow afternoon and if you're
free we can meet up",Kimbal Musk,"Kimbal Musk, Self",No,Kimbal Musk
512,2022-04-24 23:02:19 ( CDT ),44675.95994,40,Ok,Self,"Kimbal Musk, Self",No,Kimbal Musk
671,2022-04-11 09:23:35 ( CDT ),44662.39138,40,"Great to hang yesterday . I'd love to help think through the structure for the Doge social media idea .
Let me know how I can help",Kimbal Musk,"Kimbal Musk, Self",No,Kimbal Musk
672,2022-04-11 09:58:35 ( CDT ),44662.41568,40,Ok Self,Self,"Kimbal Musk, Self",No,Kimbal Musk
