ID,Date,Date - Clean,ConvoID,Content,Sender,Participants,Group,ParticipantsClean
101,2022-03-30 14:54:37 ( CDT ),44650.62126,47,"Why don't you buy Twitter ? We run it for you . And establish a true platform of free speech .
Would be a real contribution to democracy .",Mathias Döpfner,"Mathias Döpfner, Self",No,Mathias Döpfner
102,2022-03-30 14:58:12 ( CDT ),44650.62375,47,Interesting idea,Self,"Mathias Döpfner, Self",No,Mathias Döpfner
103,2022-03-30 15:03:38 ( CDT ),44650.62752,47,I'm serious . It's doable . Will be fun .,Mathias Döpfner,"Mathias Döpfner, Self",No,Mathias Döpfner
175,2022-04-04 06:27:06 ( CDT ),44655.26882,47,"Congrats to the Twitter invest ! Fast execution Shall we discuss wether we should join that
project ? I was serious with my suggestion .",Mathias Döpfner,"Mathias Döpfner, Self",No,Mathias Döpfner
190,2022-04-04 11:15:52 ( CDT ),44655.46935,47,"Sure , happy to talk",Self,"Mathias Döpfner, Self",No,Mathias Döpfner
191,2022-04-04 11:19:26 ( CDT ),44655.47183,47,"I am going to miami tomorrow for a week . Shall we speak then or Wednesday and take it
from there ?",Mathias Döpfner,"Mathias Döpfner, Self",No,Mathias Döpfner
195,2022-04-04 11:54:05 ( CDT ),44655.49589,47,Sure,Self,"Mathias Döpfner, Self",No,Mathias Döpfner
270,2022-04-06 09:23:43 ( CDT ),44657.39147,47,A short call about Twitter ?,Mathias Döpfner,"Mathias Döpfner, Self",No,Mathias Döpfner
271,2022-04-06 09:40:03 ( CDT ),44657.40281,47,"#Status Quo : it is the de facto public town square , but it is a problem that it does not adhere
to free speech principles . = > so the core product is pretty good , but ( i ) it does not serve
democracy , and ( ii ) the current business model is a dead end as reflected by flat share price .
#Goal : Make Twitter the global backbone of free speech , an open market place of ideas that
truly complies with the spirit of the first amendment and shift the business model to a
combination of ad - supported and paid to support quality #Game Plan : 1 . ) ,, Solve Free
Speech "" 1a ) Step 1 : Make it censorship - FREE by radically reducing Terms of Services ( now
hundreds of pages ) to the following : Twitter users agree to : ( 1 ) Use our service to send spam
or scam users , ( 2 ) Promote violence , ( 3 ) Post illegal pornography . 1b ) Step 2 : Make
Twitter censorship - RESISTANT • Ensure censorship resistance by implementing measures
that warrant that Twitter can't be censored long term , regardless of which government and
management . How ? Keep pushing projects at Twitter that have been working on
developing a decentralized social network protocol ( e.g. , BlueSky ) . It's not easy , but the
backend must run on decentralized infrastructure , APIs should become open ( back to the
roots ! Twitter started and became big with open APIs ) . Twitter would be one of many
clients to post and consume content . Then create a marketplace for algorithms , e.g. , if
you're a snowflake and don't want content that offends you pick another algorithm . 2. )
Solve Share Price "" Current state of the business : Twitter's ad revenues grow steadily
and for the time being , are sufficient to fund operations . MAUs are flat , no structural
growth Share price is flat , no confidence in the existing business model and / or
●
0",Mathias Döpfner,"Mathias Döpfner, Self",No,Mathias Döpfner
382,2022-04-14 14:45:30 ( CDT ),44665.61493,47,"Our editor of Die Welt just gave an interview why he left Twitter . What he is criticising is
exactly what you most likely want to change . I am thrilled to discuss twitters future when you
are ready . So exciting .",Mathias Döpfner,"Mathias Döpfner, Self",No,Mathias Döpfner
383,2022-04-14 15:02:22 ( CDT ),44665.62664,47,Interesting !,Self ,"Mathias Döpfner, Self",No,Mathias Döpfner
670,2022-04-04 12:17:09 ( CDT ),44655.51191,47,4,Mathias Döpfner,"Mathias Döpfner, Self",No,Mathias Döpfner
675,2022-04-14 14:45:30 ( CDT ),44665.61493,47,"< Attachment - application / vnd.openxmlformats - officedocument.wordprocessingml.document
Twitter Interview.docx >",Mathias Döpfner,"Mathias Döpfner, Self",No,Mathias Döpfner
